filepath,label,source_dataset
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (160).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (161).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (163).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (164).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (165).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (167).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (168).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (169).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (17).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (170).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (172).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (173).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (175).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (176).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (181).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (182).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (185).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (186).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (188).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (189).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (190).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (191).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (192).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (193).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (194).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (195).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (198).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (199).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (20).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (200).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (201).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (202).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (203).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (204).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (207).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (208).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (209).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (21).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (212).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (213).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (215).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (216).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (217).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (218).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (219).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (22).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (220).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (221).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (224).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (225).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (226).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (227).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (229).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (231).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (234).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (235).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (236).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (239).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (24).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (240).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (242).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (244).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (245).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (246).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (247).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (248).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (249).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (250).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (251).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (252).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (253).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (256).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (257).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (259).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (26).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (260).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (261).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (262).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (263).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (264).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (265).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (269).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (27).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (270).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (271).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (272).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (273).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (275).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (276).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (278).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (279).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (28).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (280).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (281).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (282).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (283).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (284).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (285).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (286).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (287).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (288).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (29).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (290).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (291).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (292).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (293).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (296).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (297).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (299).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (30).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (300).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (301).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (302).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (304).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (306).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (307).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (309).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (31).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (310).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (312).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (313).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (314).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (315).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (316).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (317).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (318).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (319).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (323).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (324).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (326).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (327).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (328).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (329).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (331).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (332).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (334).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (335).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (337).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (339).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (34).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (341).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (342).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (344).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (346).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (347).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (348).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (349).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (351).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (352).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (355).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (356).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (358).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (359).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (36).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (362).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (363).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (364).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (365).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (366).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (368).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (369).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (37).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (370).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (371).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (372).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (373).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (374).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (375).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (376).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (377).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (378).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (379).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (38).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (381).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (382).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (384).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (385).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (387).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (388).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (39).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (390).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (391).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (392).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (395).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (396).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (398).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (4).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (400).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (402).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (403).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (405).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (407).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (409).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (41).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (411).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (414).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (415).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (416).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (417).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (418).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (419).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (42).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (420).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (423).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (424).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (427).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (428).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (429).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (430).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (433).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (434).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (435).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (436).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (437).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (438).jpg,bad,kaggle
D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (439).jpg,bad,kaggle
