source_dataset,label,raw_filepath,filename,extension,processed_filepath,width,height,image_mode,file_size_bytes,content_hash
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1007).jpg,Defective (1007).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1007).jpg,393,393,RGB,100002,e954b3784e38eb58689943ac628a3719
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1008).jpg,Defective (1008).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1008).jpg,382,382,RGB,88854,01a07a81bdabe2763c11294c73b81695
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1009).jpg,Defective (1009).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1009).jpg,447,447,RGB,139373,4878271c05eaa00691f440a80adf39a5
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (101).jpg,Defective (101).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (101).jpg,1468,1468,RGB,1782984,55f12b0edf9360defda7dc776ed0de4f
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1010).jpg,Defective (1010).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1010).jpg,481,481,RGB,111035,417b746c56e9f3d17d73e1b9e761499b
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1011).jpg,Defective (1011).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1011).jpg,437,437,RGB,139288,f481a27355e7534d9c5550a839319053
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1012).jpg,Defective (1012).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1012).jpg,469,469,RGB,134882,2a5629e2d7d2461a43ed97b0f34ac4ec
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1013).jpg,Defective (1013).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1013).jpg,623,623,RGB,229121,e1be3f976e8c839d8cc470be5b0b7e7a
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1014).jpg,Defective (1014).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1014).jpg,491,491,RGB,145468,6933efccea1cc7724401e88a3f397bcf
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1015).jpg,Defective (1015).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1015).jpg,474,474,RGB,116556,380ec646202d7130b32d869aa50f17d1
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1016).jpg,Defective (1016).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1016).jpg,583,583,RGB,224070,c169e6573474734824155fc00dfcb4bf
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1017).jpg,Defective (1017).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1017).jpg,544,544,RGB,164985,c97290897f9172a6fe1cb4999d230f67
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1018).jpg,Defective (1018).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1018).jpg,524,524,RGB,171212,dfbf3c56fbbc7d987c8ac7f040068a6e
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1019).jpg,Defective (1019).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1019).jpg,567,567,RGB,187757,73c3da39d91d7023cdbee476f0fd5972
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (102).jpg,Defective (102).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (102).jpg,724,724,RGB,373863,c2f2f1d898fa40df9aeecc9bfee7e6db
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1020).jpg,Defective (1020).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1020).jpg,406,406,RGB,107958,c38974cc05b871e85b46fc28dbdd91cd
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1021).jpg,Defective (1021).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1021).jpg,242,242,RGB,42535,db8a455c2da3f4612d49c5fe0d57d7da
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1022).jpg,Defective (1022).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1022).jpg,237,237,RGB,45582,b9a20b2127cf589fa29c706999cc9f66
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1023).jpg,Defective (1023).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1023).jpg,242,242,RGB,53057,50b9ce675cb0d5cfe29c81d69864a77d
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1024).jpg,Defective (1024).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1024).jpg,470,470,RGB,221786,24cf25d0139f92b51465a47c13581757
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1025).jpg,Defective (1025).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1025).jpg,536,536,RGB,263640,0f74f4f315137a88ec04349c808fbd40
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1026).jpg,Defective (1026).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1026).jpg,577,577,RGB,273939,39705b4f6d6bd738ceeeb118c60a78c2
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1027).jpg,Defective (1027).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1027).jpg,305,305,RGB,70040,da6709a4735410cef13fe801d8a7271d
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (1028).jpg,Defective (1028).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (1028).jpg,344,344,RGB,91733,105d54e72ecfeea40a62f1b98dc5b288
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (103).jpg,Defective (103).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (103).jpg,868,868,RGB,578668,529a2f295745f80d023521142096e340
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (104).jpg,Defective (104).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (104).jpg,332,332,RGB,70687,af46d4da2d592906f4404b779016a6c5
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (105).jpg,Defective (105).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (105).jpg,798,798,RGB,484651,45d74a0e4046068f6b2c7e9dab981033
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (106).jpg,Defective (106).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (106).jpg,1128,1128,RGB,719794,082642ac01b1dd4750865e131197105a
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (107).jpg,Defective (107).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (107).jpg,622,622,RGB,277251,3618660ab75be6fead054cd5ebddcf28
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (108).jpg,Defective (108).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (108).jpg,778,778,RGB,344530,c461241a5983f744091257c235d766c9
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (109).jpg,Defective (109).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (109).jpg,596,596,RGB,251835,b2fa13f90ced76858c70f6a8489a76ec
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (11).jpg,Defective (11).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (11).jpg,661,661,RGB,224874,5ffbf4fef53aab37cad65022c76db35e
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (110).jpg,Defective (110).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (110).jpg,450,450,RGB,163570,4635f5e345a33027d3f5f84d47ff7c7e
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (111).jpg,Defective (111).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (111).jpg,332,332,RGB,82427,ac05332f81b995f1927a57846aefd9ac
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (112).jpg,Defective (112).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (112).jpg,265,265,RGB,60222,614c3144b28c248991d6301c4c2b5f6e
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (113).jpg,Defective (113).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (113).jpg,257,257,RGB,57159,28e761e065e3269dfd533ab5d0138882
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (114).jpg,Defective (114).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (114).jpg,245,245,RGB,53220,c7fe3c89b81e836a57b8d9681c3a29ac
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (115).jpg,Defective (115).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (115).jpg,503,503,RGB,205727,5be17b38a4154ead00093bab75e664f2
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (116).jpg,Defective (116).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (116).jpg,306,306,RGB,82790,d2603a96f43f2120d99743b23badbda6
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (117).jpg,Defective (117).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (117).jpg,1396,1626,RGB,1306971,349fd75076c35f51e4684b930f2f12e1
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (118).jpg,Defective (118).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (118).jpg,1264,1264,RGB,1170660,17e58ce0dfe3687c1db65488629b83a4
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (119).jpg,Defective (119).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (119).jpg,1346,1346,RGB,1305501,45c32a7a687d39fea5eec427e677ea94
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (12).jpg,Defective (12).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (12).jpg,365,365,RGB,72894,e22f0d4b6dc89d92597f95b879b8afa8
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (120).jpg,Defective (120).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (120).jpg,1608,1608,RGB,1642665,9436ad3866ccb3ecb2785beddc3e0623
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (121).jpg,Defective (121).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (121).jpg,246,246,RGB,33521,cc39070308b90cc02d599b733bff4be8
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (122).jpg,Defective (122).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (122).jpg,316,316,RGB,66136,621367c1a1702ee506192317081b0171
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (123).jpg,Defective (123).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (123).jpg,798,798,RGB,385862,fcd53854b743bb4074305e807af6b6d4
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (124).jpg,Defective (124).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (124).jpg,242,242,RGB,43139,21069b3472cf022abe5aee6641f49851
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (125).jpg,Defective (125).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (125).jpg,258,258,RGB,47533,1cf23096d2c8f8be3074e3bd83a90740
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (126).jpg,Defective (126).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (126).jpg,598,598,RGB,190951,c92eed03fa3faca5f4873e28eb15d6a3
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (127).jpg,Defective (127).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (127).jpg,854,854,RGB,556986,99f862b1b6d25cad196925d01315d816
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (128).jpg,Defective (128).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (128).jpg,1012,1012,RGB,702059,505725e723d123d24fbf21f8aabb6f30
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (129).jpg,Defective (129).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (129).jpg,408,408,RGB,128691,3462c42c18273870a00be9862adc04ce
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (13).jpg,Defective (13).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (13).jpg,378,378,RGB,142570,c57f83d6a947da1b15b63b2ba5dfaaf8
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (130).jpg,Defective (130).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (130).jpg,984,984,RGB,745183,4e05b2a8f6ab35f35f699b4f28bc24a1
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (131).jpg,Defective (131).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (131).jpg,790,790,RGB,378761,a7396568b706212b99b710c7e5f13210
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (132).jpg,Defective (132).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (132).jpg,1364,1364,RGB,935557,0157f9e071494b415f7f884854b4c4cd
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (133).jpg,Defective (133).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (133).jpg,514,514,RGB,120907,73e0a458e10dc4572e7ecf9b75572c4d
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (134).jpg,Defective (134).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (134).jpg,922,922,RGB,438704,0b42a30329ba32c637562ec3594be1fc
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (135).jpg,Defective (135).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (135).jpg,726,758,RGB,314945,38c1e6bb700e48b24874b1b0e9cea000
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (136).jpg,Defective (136).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (136).jpg,698,698,RGB,249336,726ea4e5cfa9e4329091d77ef931a790
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (137).jpg,Defective (137).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (137).jpg,356,356,RGB,61838,c0067bb6a7580af342b496494148f8b3
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (138).jpg,Defective (138).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (138).jpg,1450,1450,RGB,951070,17880a901efb2dc59b491291675279f5
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (139).jpg,Defective (139).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (139).jpg,1728,1728,RGB,1408669,6b4bcee2c7aa0a63b680c86f928581c0
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (14).jpg,Defective (14).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (14).jpg,508,508,RGB,131695,0048e7fb5b4c6ecf78b871117abe9768
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (140).jpg,Defective (140).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (140).jpg,766,766,RGB,280250,2160ce8bc99d0f18d93adc876f328907
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (141).jpg,Defective (141).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (141).jpg,456,456,RGB,77591,aa180ad7581e34d13eeeafd92d8d0214
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (142).jpg,Defective (142).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (142).jpg,372,372,RGB,64832,7423b6bbf31a7f48099d56416d865be5
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (143).jpg,Defective (143).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (143).jpg,368,368,RGB,73610,0cd8eadb155a5a7ec67a5bb1c25de928
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (144).jpg,Defective (144).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (144).jpg,364,364,RGB,56404,a0e721d17fe500de40a26f02f4875ca3
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (145).jpg,Defective (145).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (145).jpg,406,406,RGB,83427,afb058b7adb10323bf62562cd9ca2275
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (146).jpg,Defective (146).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (146).jpg,418,418,RGB,85300,5942bedf26e795d756340c8fc092f75c
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (147).jpg,Defective (147).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (147).jpg,282,282,RGB,36291,24fde337a202f716d8ed602b8c5cf783
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (148).jpg,Defective (148).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (148).jpg,380,380,RGB,68117,b4bacd97e63229e9ec7d933875ed6083
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (149).jpg,Defective (149).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (149).jpg,608,608,RGB,167431,b84c5bcd419df2c52bd47b231f19f15b
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (15).jpg,Defective (15).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (15).jpg,224,224,RGB,62592,425d4d0ebadecb6c44fc936128e69766
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (150).jpg,Defective (150).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (150).jpg,266,266,RGB,34346,46fbb137920cb8a93255ffd171091ae0
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (151).jpg,Defective (151).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (151).jpg,654,654,RGB,184809,eceeb2b6157adabf5cd0fefbc5c72a8a
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (152).jpg,Defective (152).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (152).jpg,1686,1686,RGB,1347990,b1eaa3bf3dd8e2816f57efe99efb613b
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (153).jpg,Defective (153).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (153).jpg,1509,1509,RGB,1088402,c48a4058b2889ab84e995ed820ad824c
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (154).jpg,Defective (154).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (154).jpg,304,304,RGB,46389,0890df76ce76c810e6ed00ee6f5e3e46
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (155).jpg,Defective (155).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (155).jpg,298,298,RGB,32522,cfa279a2ddf64a6dda36bccc8997fcb0
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (156).jpg,Defective (156).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (156).jpg,288,288,RGB,38535,143296d83255d9e82e516d398f952b6b
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (157).jpg,Defective (157).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (157).jpg,1020,1020,RGB,433010,011be8a4aeffa8f065ca7856483684f8
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (158).jpg,Defective (158).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (158).jpg,1208,1208,RGB,679766,84fd79f257f3c6fce426e4195c57cd3e
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (159).jpg,Defective (159).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (159).jpg,1174,1174,RGB,543262,60b3f784423647eea3f125c6a444ed49
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (16).jpg,Defective (16).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (16).jpg,265,265,RGB,95948,50fec813d48add426d0a2ba5f797295a
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (160).jpg,Defective (160).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (160).jpg,536,536,RGB,109960,d4c1c424664bae62708aa2bdf315b891
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (161).jpg,Defective (161).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (161).jpg,920,920,RGB,336973,d314979da2d921118b722318351c03ca
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (162).jpg,Defective (162).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (162).jpg,904,904,RGB,316510,17e42525e5bde3fe664c6089eda99623
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (163).jpg,Defective (163).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (163).jpg,309,309,RGB,92011,ee5aa51cc55e3d42d62df7d937381556
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (164).jpg,Defective (164).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (164).jpg,414,414,RGB,91952,572faa059abee4ddf002f70876c354f1
kaggle,bad,D:\Tyre_Classification\datasets\raw\kaggle\bad\Defective (165).jpg,Defective (165).jpg,.jpg,D:\Tyre_Classification\datasets\processed\bad\kaggle_bad_Defective (165).jpg,523,523,RGB,172537,e631fd5fc7da28ace655065176403fc2
